NbFeaturesAbnormalGauche,NbFeaturesaAbnormalDroite,class
186,179,0
150,196,0
141,135,0
84,75,0
159,187,0
153,99,0
172,186,0
196,143,0
189,177,0
168,81,0
139,149,0
246,200,0
144,159,0
193,223,0
150,126,0
185,178,0
111,84,0
212,128,0
234,174,0
203,162,0
255,224,0
124,157,0
161,210,0
194,159,0
159,121,0
333,336,0
196,206,0
224,184,0
208,167,0
130,140,0
187,204,0
197,213,0
120,129,0
176,146,0
121,126,0
215,266,0
172,177,0
225,209,0
139,149,0
173,149,0
64,61,0
98,117,0
168,163,0
189,166,0
126,113,0
161,210,0
194,159,0
147,171,0
145,157,0
169,191,0
224,184,0
106,95,0
176,144,0
173,147,0
263,187,0
120,295,0
198,223,0
129,88,0
163,156,0
273,263,0
231,194,0
83,106,0
154,137,0
175,171,0
203,256,0
200,242,0
213,197,0
125,148,0
103,104,0
202,179,0
130,108,0
199,165,0
189,162,0
149,122,0
191,192,0
183,242,0
161,140,0
96,111,0
226,193,0
251,224,0
234,228,0
138,108,0
91,86,0
130,108,0
178,208,0
201,190,0
160,230,0
168,184,0
133,108,0
68,31,0
155,168,0
79,115,0
178,207,0
138,136,0
37,53,0
150,139,0
168,81,0
224,184,0
116,147,0
144,161,0
150,196,0
138,136,0
159,176,0
171,184,0
160,203,0
67,114,0
120,87,0
121,145,0
137,134,0
153,164,0
123,156,0
192,133,0
172,165,0
107,151,0
64,62,0
121,137,0
138,136,0
114,195,0
188,253,0
171,200,0
205,174,0
68,62,0
198,234,0
188,215,0
37,53,0
141,161,0
159,152,0
214,194,0
96,111,0
206,166,0
138,136,0
176,202,0
220,210,0
114,195,0
167,186,0
101,113,0
82,143,0
223,219,0
130,140,0
120,140,0
166,133,0
137,155,0
119,79,0
162,156,0
103,117,0
127,113,0
148,161,0
172,189,0
95,106,0
200,254,0
133,133,0
90,121,0
186,160,0
141,163,0
148,166,0
