Filename,Region1,Region2,Region3,Region4
28 no.jpg,86,66,74,87
42 no.jpg,35,38,35,49
no 100.jpg,48,51,16,25
no.jpg,66,69,42,48
2 no.jpeg,23,38,58,42
24 no.jpg,98,85,115,94
35 no.jpg,59,80,70,69
No20.jpg,52,35,36,30
no 923.jpg,62,64,46,62
N3.jpg,95,115,85,90
47 no.jpg,31,39,59,55
40 no.jpg,64,60,65,88
no 98.jpg,72,57,79,59
no 96.jpg,47,61,22,39
3 no.jpg,91,73,84,62
no 4.jpg,95,115,85,90
no 2.jpg,60,73,45,78
no 94.jpg,62,58,47,55
N2.JPG,82,69,81,84
23 no.jpg,154,165,157,134
45 no.jpg,103,94,100,128
no 3.jpg,81,91,95,86
9 no.jpg,99,73,91,103
N26.JPG,76,65,115,85
31 no.jpg,106,85,93,79
43 no.jpg,42,42,66,56
no 99.jpg,65,58,45,50
25 no.jpg,113,80,114,86
No16.jpg,62,51,67,72
N6.jpg,107,92,93,86
50 no.jpg,77,87,58,64
No17.jpg,81,69,78,76
N17.jpg,76,71,58,65
38 no.jpg,113,120,100,87
33 no.jpg,84,67,66,42
N20.JPG,123,99,108,95
no 5.jpeg,40,46,19,22
15 no.jpg,100,86,102,101
No21.jpg,60,73,81,77
19 no.jpg,65,79,72,51
7 no.jpg,76,79,54,59
N22.JPG,78,52,59,74
48 no.jpeg,44,36,24,37
34 no.jpg,83,65,64,61
21 no.jpg,63,58,84,85
no 90.jpg,52,57,63,76
14 no.jpg,96,67,84,92
N21.jpg,68,64,66,104
5 no.jpg,55,62,66,56
No12.jpg,97,98,141,119
18 no.jpg,63,76,101,71
27 no.jpg,60,64,92,81
13 no.jpg,35,38,35,49
N5.jpg,68,78,82,83
no 9.png,45,30,51,41
no 97.jpg,48,56,30,38
N16.jpg,72,80,55,63
39 no.jpg,68,74,89,88
10 no.jpg,99,73,91,103
No15.jpg,81,69,78,76
No22.jpg,95,104,80,72
No14.jpg,92,49,89,58
4 no.jpg,68,78,82,83
no 1.jpg,62,62,52,55
17 no.jpg,60,64,92,81
29 no.jpg,69,84,53,74
44no.jpg,80,86,60,52
20 no.jpg,101,108,84,74
N1.JPG,71,71,58,50
no 6.jpg,97,100,75,79
N11.jpg,61,55,52,50
6 no.jpg,64,56,58,67
30 no.jpg,154,165,194,192
No11.jpg,60,66,91,82
no 95.jpg,118,82,104,121
no 92.jpg,34,31,54,41
12 no.jpg,49,53,73,79
22 no.jpg,122,129,107,153
32 no.jpg,57,56,57,69
26 no.jpg,81,136,136,105
37 no.jpg,65,56,69,76
36 no.jpg,69,107,55,84
41 no.jpg,64,60,65,88
No18.jpg,66,73,64,65
11 no.jpg,29,42,32,30
No19.jpg,39,62,33,30
N19.JPG,98,75,81,82
no 91.jpeg,107,101,79,73
1 no.jpeg,62,58,47,55
46 no.jpg,92,96,100,105
N15.jpg,57,60,71,84
49 no.jpg,62,62,52,55
No13.jpg,59,58,65,64
no 89.jpg,61,86,65,63
8 no.jpg,113,120,100,87
no 7.jpeg,60,66,91,82
no 8.jpg,38,36,38,44
no 10.jpg,74,66,71,85
,,,,
Process finished with exit code 0,,,,
